关卡,年级,字族,新字,复习字,总字数,Boss类型,结构类型
1,一,数字,一二三四五,,5,无,独体
2,一,人体,人口手目舌,五二四三一,10,无,独体
3,一,动作,走跑跳坐站,四三一手人,10,无,独体
4,一,自然,天日月山水,四三一手跑,10,无,独体
5,一,动物,鸟马牛羊猪,走坐四手人,10,形近字Boss,独体
6,一,方位,上下左右前,鸟四猪手人,10,无,独体
7,一,颜色,红黄蓝绿黑,跑日四左人,10,无,独体
8,一,家人,爸妈爷奶哥,日四左蓝人,10,无,独体
9,一,学习,学读书写记,哥四左蓝人,10,无,独体
10,一,品质,好诚实勇敢,四左蓝书人,10,字族Boss,独体
11,一,季节,春夏秋冬,四左蓝书人,9,无,独体
12,一,交通,车船飞机路,四左蓝书人,10,无,独体
13,二,数字,六七八九十,诚日春敢蓝,10,无,独体
14,二,动作,看听吃喝,诚日春敢蓝,9,无,独体
15,二,自然,火木花草,春敢吃喝蓝,9,形近字Boss,独体
16,二,动物,狗猫鸡鸭鹅,草敢吃喝蓝,10,无,独体
17,二,方位,后里外中东,敢吃鹅喝蓝,10,无,独体
18,二,家人,姐弟兄妹男,敢吃鹅喝蓝,10,无,独体
19,二,学习,字课本题考,敢吃鹅喝蓝,10,无,独体
20,二,品质,坚强勤劳,敢吃鹅喝蓝,9,字族Boss,独体
21,三,方位,西南北,敢吃鹅喝蓝,8,无,独体
22,一,混合,个牙足玩乐,敢吃鹅喝蓝,10,无,左右
23,一,混合,笑哭开关门,敢吃鹅喝蓝,10,无,左右
24,一,混合,田土竹禾米,吃鹅笑喝蓝,10,无,左右
25,一,混合,面女老少亲,吃鹅笑喝蓝,10,形近字Boss,左右
26,一,混合,友邻居朋同,吃鹅笑喝蓝,10,无,左右
27,一,混合,伴同老师医,鹅笑喝蓝朋,10,无,左右
28,一,混合,生护士警察,外猫火鹅朋,10,无,左右
29,一,混合,农民工商士,外猫火鹅朋,10,无,左右
30,一,混合,兵将帅元首,外猫火鹅朋,10,字族Boss,左右
31,一,混合,帝宇宙星空,火帅鹅首朋,10,无,左右
32,一,混合,银河太阳亮,火帅鹅首朋,10,无,左右
33,一,混合,星辰早晨傍,火帅鹅首朋,10,无,左右
34,丁,混合,晚深夜晚间,帅鹅傍首朋,10,无,左右
35,丁,混合,时刻分钟秒,帅鹅傍首朋,10,形近字Boss,左右
36,丁,混合,钟表历历纪,帅鹅傍首朋,10,无,左右
37,丁,混合,朝代秦汉唐,鹅傍首朋表,10,无,左右
38,丁,混合,宋元明清华,傍汉首朋表,10,无,左右
39,丁,混合,民国共和旗,傍汉首朋表,10,无,左右
40,丁,混合,帜歌声,汉首朋表旗,8,字族Boss,左右
